review,sentiment
there is a new nuclear arms race underway superman is forbidden to interfere with earth s internal affairs however a little boy s letter and taunting from the paper s owner david warfield superman decides to make a declaration at the un to destroy all of the world s nuclear weapons lacy warfield mariel hemingway is the new woman at the paper who falls for clark kent meanwhile nephew lenny jon cryer helps spring lex luthor gene hackman from prison work detail using a strand of superman s hair lex luthor creates nuclear man the movie is pretty boring and even more silly than all the others there are a lot of problems with the ridiculous nature of this movie nephew lenny is annoyingly silly the premise of the world politics is stupid the idea that superman would reveal his identity and kiss it away just to ease his mind seems wrong the effects may have actually gotten worst however the biggest mistake is the idea that superman would get rid of all the nuclear weapons during wwii superman never really battle the nazis or the japanese directly it was a matter of superman not be a god like figure to direct and interfere with mankind s wars if superman is to act like god then the reaction from the earth s political and commercial powers have to act more realistically this movie is too silly and simplistic dealing with world politics the whole thing is a wrong idea,negative
superman iv the quest for peace is a good movie but it was a failure in my opinion it was great seeing the superman cast back together again including gene hackman who we have not seen since superman ii this time alexander and ilya salkind were not producing the movie instead menaham golan and yoram globus the owners of cannon films were producing if you ask me the salkinds knew how to make a superman movie better than those two in superman iv superman hears the threat of nuclear war over and over and so he decides that he will rid the world of every nuclear weapon known to man at the same time lex luthor has broken out of jail again and this time his sidekick is his dorky nephew lenny the two criminals create a device that they put on one of the nuclear weapons and that ends up creating nuclear man nuclear man has the same powers as superman but the only difference is that nuclear man gets his power from the sun while all of this is going on the dailey planet is being controlled by a tycoon and his daughter who has her eye on clark kent so superman has a big job here save the world from nuclear destruction i am going to say that anyone who has seen the first three superman films then just go ahead and see iv because it would be a shame to not see the film that is last in the series but in my opinion i did not like it much i think alexander ilya salkind would have made a hell of a last movie,negative
very odd and very short color film that tries as a horror comedy there are no opening credits the film opens with a man wearing a lab coat with mad doctor on his coat pocket he talks to the audience for a while and then we get an announcer read to us who is in the movie who made it who edited it etc while we see a man in a gorilla suit in different settings looks like an amateur film plot concerns a group of sorority pledges who have to spend the night in a haunted house the house has a mad doctor a gorilla a hunchback an oriental woman and a werewolf in the basement whole thing is done in fun with gorilla frequently holding up signs with one word phrases,positive
the acting costumes and dialog for monsters crash the pajama party are all quite terrible in fact it is one of the cheesiest films of an era known for its cheesy teen movies but it still manages to entertain mostly because it never takes itself seriously and often makes fun of itself because of this the bad film has a genial quality about it that make it goofy fun among the best examples is the guy in the gorilla suit he not only introduces the film but makes commentary using giant signs with words printed on it also as the film is introduced a bizarre narrator says lots of strange and occasionally funny remarks another is the mad scientist who wears a lab coat that says mad doctor right on it because this film is intentionally bad i really do not think it is appropriate to give it a numerical score for those who love the silly monster films of the 1960s it is well worth seeing for anyone just wanting to see a good film then it is definitely one you should skip harmless fun,positive
while the batman franchise has been much maligned in recent years due to the disappointing performance of the last live action film forever was second in quality only to the first bat film it added color back into a gotham that had gotten way too claustrophobic and brought the tone back to something resembling the comics jim carrey is a scene stealer and dead on as the riddler and val kilmer is the perfect bruce wayne and batman tommy lee jones does a great turn as two face unfortunately he is not given enough to do and therefore comes across too cartoony minus the angst of the character in the comics one other big complaint is the new score gone are danny elfman s orchestrations elliot goldenthal s music would have been fine if not for his predecessor most people tend to lump this one in the lousy section it seems but it was one of the biggest movies of 95 and a very faithful adaption overall now if they would only release the director s cut,positive
some people talk about the stick of straw that broke the camel s back meaning when something reached the tipping point so when did the batman franchise go bad well batman forever was getting silly but it still had jim carrey to steal the show as the riddler batman and robin had about as many good qualities as a barrel of toxic waste personally i do not know why they had to have batman val kilmer going through therapy remove that and he still would have been a cool superhero with neat gadgets tommy lee jones was not bad as two face nicole kidman and chris o donnell as dr chase meridian and robin respectively did not really add anything overall the point is that when joel schumacher took over directing the franchise went downhill part of the problem was that while tim burton created an eerie gotham city that looked like new york in the 1940s joel schumacher created a gotham city that looked like it was trying too hard to be blade runner so the franchise starting getting stale with this one but jim carrey kept the movie from being unwatchable as edward nygma one of bruce wayne s employees he had some great lines in the movie nygma proposes a device that rests atop tv sets and reads peoples minds but wayne rejects it considering it too dangerous thus nygma becomes the riddler and he is the best character in the movie,negative
this is hands down the worst film ever made in the history of the existence of the universe there have been some bad films made but this is a travesty it is hard to believe that money was spent to make this it could have been used on something else charity i suppose i was 12 when i went to see this and it broke my heart batman was my favorite comic book and character when i was a kid and this film broke my spirit the excellence of the tim burton michael keaton films are long gone the dark emotional center and development of the hero and the villains is sidelined for action sequences action sequences and some more action sequences some of them incorporating the worst cgi and model work ever seen on film the casting itself had to the potential to make a good film george clooney could have made a great batman square jawed popular with the ladies the only thing going against him being that can be too laid back maybe with a better script he could do the darker material uma thurman is perfect for poison ivy she is a good looking yet quirky actress but you would not know it by the emphasis on camp context and innuendo in this film arnie is maybe a little miscast as mr freeze but he does well getting a chance to use some great puns but someone who can come across as more evil would have been better then there is chris o donnell and alicia silverstone as robin and batgirl let us just say more charisma can come from a line of fridge freezers with nothing in them the only decent performance comes from michael gough as alfred only one of two actors to have appeared in all four films his performance is wonderful in this otherwise mess of a film the blame for this disaster can be laid at the hands of joel schumacher his direction misplaced and his intentions misguided he may have redeemed himself with phone booth but he will always be the man who destroyed batman in my eyes,positive
strangely enough that is one ice related pun that mr freeze does not use in this film though it does adequately describe the movie what was i thinking watching batman robin for a third time even worse what was i doing actually starting to enjoy it yes there is something endearingly awful about a film that fails on almost every technical level but it was not always so the first two films in the franchise anchored by the strong and much undervalued lead of michael keaton were enjoyable pop art excursions by tim burton the first still by far the best allowed jack nicholson to ham it up amongst retro stylings and the music of prince the second batman returns was a less successful effort to homage german expressionist cinema the darkest of the four films and struggled slightly under the weight of three villains the lesson was not learnt and the usage of multiple baddies has been a fixed staple ever since with the third batman forever the flat acting of new bat val kilmer was coupled with joel schumacher s garish direction and chris o donnell s irritating robin akiva goldsman was now the writer and any sense of depth had given way to trite puns and disjointed set pieces and so it was that everything that was symptomatically flawed with the series was expanded upon and magnified for the fourth and by far the weakest instalment george clooney has accepted a lot of the blame for this film a humble admission but unfair while he is clearly miscast as both batman and bruce wayne he does not give a bad performance per se rather it is his back up that let us the side down uma thurman am i the only one who does not think she is that good looking has a great time overdoing it as poison ivy but she is joined by arnold schwarzenegger as mr freeze schwarz not exactly known for his acting skill is unrecognisable under his costume so what is the point he gets to call batman batunbuuurg refers to robin as buuurd bouy and only has 100 lines in total the fact that 26 of these lines are lame puns on the word ice that even a two year old would struggle to find funny is even more deplorable and when you hear freeze tell batman yew arr not zending mee too da cooola the urge to use the video s stop button is almost insurmountable bane makes up the trio a monosyllabic muscleman in a gimp mask a completely unnecessary addition he offers nothing to the plot and goes largely forgotten the introduction of wonky mouthed alicia silverstone as a fatuous batgirl character is also grating and why does not her costume come fitted with batnipples like the rest tiny traces of amusement can be gleaned from ivy s dialogue with her urges that her garden needs tending adding some form of adult tone to the humour however it is unrelenting innuendo i will help you grab your rocks does start to wear thin very quickly i did smile at batman s cashcard i never leave the cave without it and it is also nice to see some small references from other films even if it is just a glimpse of the riddler s costume from forever some guards paraphrasing cobra or some street bystanders dressed as clockwork orange droogs in fact the idea of a batman film as completely ott comedy send up may have worked were the rest of the humour more sophisticated it is the hockey team from hell so this is where you hang out i will cancel the pizza oh how lame and functional the dialogue is the film wraps up with a rather pathetic plot contrivance and george having to dish out bland platitudes not all heroes wear masks to give life that is true power oh it really is abominably bad batman robin exists as a classic example of the hollywood system folding in under its own weight however the universal slating this one got neglects one factor while the least successful it still made over 230 000 000 at the box office i wonder how many people would be satisfied with failures like that,positive
well i just had the good fortune to see this movie on the big screen in glorious 3d although my 3d glasses kept falling off of my regular glasses and must say that all of the previous posts with exception of the person who gave it like 9 stars just did not get this movie and never will yes it is bad terribly bad yes the acting sucks etc did this detract from my enjoyment of the film not a whit i can imagine that in 2d on a tv the charm could be significantly diminished but in its original 3d glory this is not to b missed i can not fathom all of the bad posts from folks who claim to like this genre of movies i mean look at the godzilla movies that were coming out at this time frame pure cheese yet i love them just the same if your idea of a giant monster movie is the hollywood godzilla or the peter jackson king kong then by all means please skip this if on the other hand you wish peter jackson would take his next million dollars and sink it into a remake of meet the feebles then you might get a few chuckles out of this movie,negative
the first time i watched this i was so tired at the time nothing made sense this movie was no exception i did not even get the chance to finish it i guess i just fell asleep well i watched it again last night and it still does not make sense none at all it is just far too badly done there are too many mistakes to list so i will not even attempt to all i want to know is if the film makers were serious when they made this movie because if they were i pity them i could make a better movie and look at me i am only 16 ayy yay yay yay one out of many things that really bothered me in this movie was the monster now i got over the whole fact that it is blatantly a man in a monkey suit but some of the things that stuck around and i could not get out of my head were the fact that 1 the ape flipped off the camera what last time i checked apes do not intentionally flip off cameras or anybody else for that matter 2 at one point when the ape was stomping a village by a mountain the ape was wearing high top tennis shoes tennis shoes no i am sorry mr film director apes do not wear tennis shoes please if you are going to make a movie and it involves the portrayal of a wild animal with a human in an animal suit remember wild animals do not wear clothing that is just a little fact of life of which everyone needs to be aware this was a terrible movie but not too terrible in a bad way it was more terrible in a good funny way it was fun to watch it was easy to make fun of it was an experience to remember movies can not be made this bad on purpose they are accidents terrible terrible accidents accidents like 3 mile island or the jimmy carter election they are accidents that should have been prevented through careful evaluation of all people claiming to be film makers please if you ever hear of a movie like this ever being made again take a bat and start beating in the head of the director then take a lighter and some gasoline and burn down the studio then go get a paper shredder and shred the film then take the remaining shreds and toss them into the fire at the movie studio nothing this bad should ever exist again good day,positive
given that birdemic has been blasted by many critics i think i should say something positive about it to start off with the scenery of half moon bay is agreeable for one thing and ms moore has at least a modicum of charisma also anyone who appreciates a stylish blue hybrid mustang rolling along in a stately manner gets to savor that very sight in many lingering shots all positive aspects of this film less positive aspects of this film are legion so much so that i am reminded of my wish that imdb com would allow a vote on a scale from 1 to 100 rather than 1 to 10 in which case birdemic would rate at least a 3 out of 100 for the reasons mentioned and perhaps a 4 for meaning well though the message about global warming comes across in a preachy and ham handed manner still something about the profoundly amateurish quality of this film makes it feel a little unfair to rate it at all in much the same way that it would feel wrong to grade a term paper on the basis of some rough notes jotted down before writing the paper rather than the paper itself this film very much reminds me of a rough draft a sort of rough visualization of what the film would have been if the producer had more resources at his disposal thus making the upcoming larger budget sequel all the more intriguing yet i wonder if this film might have been less entertaining if it were better made if it featured better sound editing writing acting direction and special effects it might just be a forgettable homage to the birds its very flaws elevate or should i say depress it to a special level otherwise occupied by a few special films like the room and manos the hands of fate the legendary realm of films that are so bad they are good so giving it the benefit of the doubt as a real film and not just a rough draft i tender my vote of 1 out of 10 and hope that other fans of this film will also give it an appropriately low vote and insure its rightful place on the bottom 100 once it gathers the requisite number of votes,positive
first of all to approach birdemic shock and terror with any kind of hope of witnessing a good feature film is utter lunacy amateur is a word a thousand times too generous for this film s description even given its low budget of 10 000 the majority of which seems to have gone on car fuel the film is a joke the acting is unspeakably bad the special effects are not worth mentioning the music is corny and inappropriate and the film s editing techniques have all the marvel of a flip book the only way to enjoy this film is to treat it as exactly that a joke the above faults of the film are so glaring that the film becomes one huge joke that you can laugh along to however even this joke wears thin pretty quickly and you are left feeling quite empty as if you have been cheated out of 95 minutes of your life nonetheless i am firmly convinced that it is the director james nguyen who is having the last laugh as he has created a film so notoriously bad that everyone wants to see it perhaps the joke is on us and the director s intention was to see just how popular this film could be through its infamy even so absolutely nothing can forgive how bad this film really is it makes battlefield earth feel like star wars and makes the special effects of 1933 s king kong look like those of avatar it is quite simply the worst film ever committed to celluloid watching the trailer i actually had a decent laugh and thought it might be worth it but having watched the finished product the knowledge that somebody spent 10 000 making this ugly piece of garbage and then having the audacity to call it a film is infuriating and actually quite offensive people were paid to produce this with money i still do not believe it,negative
this is ed wood s masterpiece one literally has to experience this film to understand how nuts it truly is the film literally makes no sense whatsoever and that is the brilliance of it the story of the transvestite glen glenda is told by not 1 but count them 2 yes 2 narrators one of whom was the sad pathetic drug addled bela lugosi watching him rambling almost incoherently bevare bevare it is hard to imagine just 20 years before he was the toast of broadway as dracula just watching him spouting his mindless chatter gives the film a surreal quality obviously this was the biography of wood himself and watching him take the angora sweater from his confused yet loving fiancee is priceless this movie takes camp to a whole level of it is own no other film not even plan 9 from outer space can touch it one watches it in utter amazement,negative
shine on you crazy d wood forget plan 9 this is the benchmark for so bad its good filmmaking a favourite of david lynch s as well as mine this is wood s most sincere and personal effort as well as his most surreal part informative documentary part exploitation part wtf extravaganza love it,positive
i love animation anime and have done since a very early age space thunder kids is not the worst animated movie i have seen but it is laughably bad and you like i sort of did might find some entertainment value in its awfulness the animation has a dull and unfinished quality to it the backgrounds are often static with the galactic backgrounds not doing anything for me and the colours are flat the character designs fare worse they are stiff and forced and the dubbing is rarely in sync with the lip movements actually i think the lip movements were nearly always ahead of the speaking also in the beginning alone there are objects that float around aimlessly and when they are hit with laser beams they pop in very slow motion more reminiscent of balloons that take a long time to pop the music when it appears was not so bad in its orchestration at the time it is just that afterwards it was very forgettable and there are times in the movie where you felt it could have had less music or that a scene did not need any music the characters i was mostly indifferent to the dark emperor was intriguing by name but you do not know much about him while the lead characters are annoying the voice acting dubbing is very poor and sloppy with the actors sounding as though they are not putting any effort in the story is another major problem it is a very unoriginal and thin one i liked the idea somewhat do not get me wrong but that idea was completely abandoned halfway through not only that the film feels as though it has three different beginnings three beginnings that feel disjointed and do not do much to move the story forward or set the tone of the story the film is only a little over 80 minutes but because the pace is so sluggish in places it feels longer and i must not forget the writing it is dreadfully cheesy however i found it impossible not to be amused not because the dialogue was hilarious or anything but because the lines and delivery of them were so bad in conclusion dreadful but had some novelty value 1 10 bethany cox,positive
if you are reading this you too we are drawn here to imbd to ask of the universe what we all want to know those of us who have seen this movie was that even real what did i just watch what happened that this movie exists was god watching when man in his arrogance foisted this magnificent catastrophe into reality just what if you are here reading this review and by some inconceivable trick of fate you have not seen this movie do yourself a favor watch it revel in it savor the bad because baby that is all she has it is worth every excruciating minute i have to respectfully disagree with the reviewer who left 5 stars this film is that bad it is possibly the benchmark for bad itself did minos pause before condemning his deformed son to prowl the labyrinth forever shamed forever reviled did he pause to ask himself what horror have i unleashed how great will be my name for this thing i have done if he did so must have the creators of space thunder kids do not watch this alone it might be my very favorite movie 1 10,negative
i am confirming it is lame it suffers from the same issues as the 1994 fantastic four but unlike ff i can give it a it is so bad it is good stamp and i am very happy about that captain america is a pretty easy comic to adapt to the big screen it is just an action adventure war movie about a guy who sometimes wears a mask they did take some liberties with the character that make my fanboy radar point up but it is superficial steve rodgers is now a boy from southern california who has polio and offered himself up to the super soldier experiment headed up by a woman who escaped from the nazis the idea of a woman creating the star spangled avenger was cool not enough female brainiacs in the comic book industry shortly after steve rodgers becomes captain america the doctor is killed making steve and the red skull the only one s like them after stopping the red skull from destroying the white house he is trapped in ice for 60 years and wakes up having to stop the red skull who has formed an underground crime unit that basically is hydra without saying it again proving how well cap works as an action movie matt salinger who plays steve rogers wearing some sort of padding to make it look like he is got more than he does barely wears the cartoonish suit they made for him of course wearing the uniform makes him captain america duh it is got that 80s swagger to it the red skull has his daughter do all the heavy lifting for most of the movie with her small army of rich nazi brats who drive the fastest cars and wear the hottest fashions but more than capable with the guns they took some liberties with the red skull s origin too i think this was to save money and film the entire movie in italy i am also guessing that certain places in italy look more like southern california than new york city i am being harsh on the movie because i have grown to like the character more now than i ever did when i was a kid and saw this but like i expressed before the movie does have a so bad it is food quality that makes it real enjoyable http cinemagardens com,positive
superhero movies are again a hot property thanks to the big screen adaptations of spider man x men and superman as such many film buffs who know little or nothing about captain america have no doubt been picking this one up at the video store too bad nothing but pure crapulescence awaits them where to begin the movie has a dim look to it the acting is second rate and the action and battle scenes are few and far between it will disappoint most die hard comic book fans perhaps as much as those silly 1970s cap films were on a positive note the action scenes are not awful when the viewer finally gets to them as well the characters stay pretty true to their illustrated roots and kids are not going to be nearly as fussy as adult moviegoers about this one,negative
the only way to describe this roger corman produced flick is to compare it to an episode of power rangers or vr troopers on a 1million budget it is fast paced and fun over the top and cheesy and its short comings are there for everyone to see in all honesty the cast make the most of what they are given alex hyde white has just the right dryness for the part of reed richards and rebbeca staab is quite fitting as sue storm the other characters are less well represented with dr doom being the worst offender over acting as he does through the heavily cheap body armour the realisation of the thing and the human torch is quite good the things full body costume is similar to those used in the turtles movies and the torch is brought to life via some slick animation oley sassone actually gets the best out of the action scenes and coaxes a good atmosphere this is a movie worth seeing it manages to capture a little of the heart of marvel comics in ways that captain america 1991 and the punisher 1989 were not able to it is a petty that more money could not have been made available because as a representation of the f4 it is not bad at all do not get me wrong its no superman the movie and this years fantastic four movie will rock but the film is no plan 9 or gigli either and is worth seeing at least once,positive
i went in expecting cheese i went in expecting something similiar to the 1990 captain america or even the 1970 s spiderman but what i got was something altogether different this origin story fantastic four movie cost 1 million dollars to make which back in 1994 made it a high budget film the fact it is not well known and considered mainstream is because it is so bad it is been brushed under the carpet with embarassing special effects a cast who simply can not be bothered and some ridiculous over the top performances soundtrack the whole thing is truly abyssmal i do not know what it is with the fantastic four but cinematically they just can not get a break maybe when they finally get added to the marvel universe they will have their day but for now i think the 2005 movie is the best one going the fantastic four is like batman forever 1995 made by kindergarteners starring mcdonalds workers the good erm well there is that part that errr i got nothing the bad stupidly over the top in places some major differences from the comic all looks so very dreadful is simply seven shades of terrible things i learnt from this movie a blind person can fall in love with a man she is never seen nor even really spoken to the fantastic four are doomed to never have a great movie,negative
verily if someone would ask me the question what is the thing that you hate the most this movie should be the answer this movie is why turkish movie sector is way back from other countries all along the movie you will not see a sign of the director creating something anything that is actually the idea of anyone turkish i am ashamed that such a movie was shot copy pasted actually others might look into this movie as a joke but i think it is as serious as the assassination of kennedy i guess that hits the spot this is the embodiment of all those wasted years of turkish movie sector i mean come on turkish star wars it is the star wars i pity the time i wasted watching this movie i will kill myself if i hear its name just one more time it is an affront to every movie i love,negative
this film is the most absurd film of the century because of this it must be in the literatures you can really laugh very much but the strange thing this film is not made for this purpose cuneyt arkin is the hero and he is very famous in turkey he has many historical films like this,negative
shaw brothers is mostly known for their kung fu films but they did occasionally try things outside of their wheelhouse namely mighty peking man and super infra man super inframan is your basic rubber suit monster battle but filtered through the lense of hong kong kung fu flicks complete with bad audio syncing and out of place sounding impact shots in terms of plot image if you had an entire seasons worth of power rangers plots squished into 90 minutes and compressed the storytelling into about 20 minutes filling the rest with action scenes the movie is non stop action and unapologetically silly and if you are a fan of silly monster movies or kung fu flicks you will find something to like just do not expect much of a coherent narrative,negative
you really need to know what you are in for before watching this film a 70s children morning show a chinese ultraman explosions the movie it is very campy very cheesy the costumes are pretty bad and laughed a lot throughout the film there were so many crazy things with it that really did not make any sense and yet the film just moved on with it for some reason the big bad knew the guy s name that they kidnapped they knew about the professor as if they had met before and everyone played it with straight faces i was never bored watching this film it was like they squeezed a full season of villains to this superhero into one film so much fighting so many explosions such sharp cone bras it is not for everyone but if you want to see an alternative of what a superhero film from the 70s could look like you really need to give this one a try haha,negative
some awesome stop motion animation in a bad film the only good live action in this movie in every scene eddie dezen is in he plays a real dork in this movie so he is funny the aliens in the movie on the other hand are fabulous they were designed by david allen batteries not included and jon berg star wars they were animated by randall wiliam cook the gate and david allen with all of this talent on board these aliens are truly majestic and awesome stop motion animation fans need to check this one out for the aliens i love them the movie however is a drag 4 out of 10,positive
i was expecting laserblast to be awful judging by its position in the mystery science theater 3000 10 worst movies they riffed list and its reputation it is a bad movie though i can see why people would find it entertaining to watch but it is much better than the likes of monster a go go manos the hands of fate the wild world of batwoman merlin s shop of mystical wonders and hobgoblins and in general there are far worse as well the best asset of laserblast is the music score which pulsates through the movie with great energy and atmosphere that is not matched with the rest of the movie cheryl smith is sweet and sympathetic and keenan wynn is appropriately gruff and i personally though the stop motion and the aliens were quite good of any of the movies on the 10 movies they riffed list it is laserblast that has the best special effects everything else comes up painfully short though roddy macdowell is wasted to the point that you question why was he even in it and eddie deezen has to be the most annoying bully ever seen in film the story is a real drag as well it makes very little sense if at all has so much overlong filler that adds nothing to the storytelling and is one of those instances where the plot summary pretty much sums up the whole movie it also does not know what to do with itself and takes forever to get going it is half an hour until anything of the sort happens and then when the gun is found the rest of the movie is just stuff getting shot at at best the camera work and editing are haphazard the dialogue is hysterically bad and the characters are not developed anywhere near enough or characterised very effectively to be believable or likewise in conclusion laserblast is a bad movie that is rather dull and senseless and wastes mcdowell but a great score better than average stop motion and effects and two decent performances make it not as bad as all that 3 10 bethany cox,negative
